element,kickoff_time,fixture,opponent_team,total_points,was_home,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,opponent,opponent_short,position_short,team,team_short,first_name,last_name,web_name,selected_by_percent,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,chance_playing_tr,chance_playing_nx,news,form,round_points,shots,xG,time,position,date,xA,key_passes,npg,npxG,xGChain,xGBuildup,player_id,code
302,2021-01-17,184,11,3,False,0.0,0.0,19,88,0,0,1,0,0,0,0,0,0,0,0,3,7.4,24.5,47.0,7.9,11.3,-12831,4139736,91675,104506,Liverpool,LIV,MID,Man Utd,MUN,Bruno Miguel,Borges Fernandes,Fernandes,55.6,2.0,1.0,1.0,0.0,100.0,,6.2,0,4,0.655246376991272,89,AMC,2021-01-17,0.0209071729332208,1,0,0.655246376991272,0.5934829711914062,0.0,1228.0,141746
302,2021-01-20,171,8,5,False,1.0,2.0,19,90,0,1,0,1,0,0,0,0,0,0,0,20,13.8,37.2,23.0,7.4,11.3,-12831,4139736,91675,104506,Fulham,FUL,MID,Man Utd,MUN,Bruno Miguel,Borges Fernandes,Fernandes,55.6,2.0,1.0,1.0,0.0,100.0,,6.2,0,4,0.1620229631662368,90,AMC,2021-01-20,0.4207189381122589,2,0,0.1620229631662368,1.302029728889465,0.8243424296379089,1228.0,141746
302,2021-01-27,192,15,2,True,1.0,2.0,20,90,0,0,0,2,0,0,0,0,0,0,0,15,18.2,37.8,38.0,9.4,11.3,315163,4491956,348430,33267,Sheffield Utd,SHU,MID,Man Utd,MUN,Bruno Miguel,Borges Fernandes,Fernandes,55.6,2.0,1.0,1.0,0.0,100.0,,6.2,0,3,0.0984976142644882,90,AMC,2021-01-27,0.3947847485542297,3,0,0.0984976142644882,0.4301250576972961,0.0914163514971733,1228.0,141746
302,2021-01-30,199,1,3,False,0.0,0.0,21,90,0,0,1,0,0,0,0,0,0,0,0,8,7.0,16.3,18.0,4.1,11.4,-57421,4435441,75425,132846,Arsenal,ARS,MID,Man Utd,MUN,Bruno Miguel,Borges Fernandes,Fernandes,55.6,2.0,1.0,1.0,0.0,100.0,,6.2,0,2,0.1422100216150283,90,AMC,2021-01-30,0.0195138454437255,1,0,0.1422100216150283,0.5742745995521545,0.5258044600486755,1228.0,141746
302,2021-02-02,213,16,17,True,9.0,0.0,22,90,1,2,1,0,0,0,0,0,0,0,3,54,89.4,65.2,69.0,22.4,11.4,16203,4465306,93203,77000,Southampton,SOU,MID,Man Utd,MUN,Bruno Miguel,Borges Fernandes,Fernandes,55.6,2.0,1.0,1.0,0.0,100.0,,6.2,0,6,1.0288612842559814,90,AMC,2021-02-02,1.2065446376800537,5,0,0.2676924467086792,1.4491671323776243,0.6226614117622375,1228.0,141746
302,2021-02-06,224,7,7,True,3.0,3.0,23,90,1,0,0,3,0,0,0,0,0,0,0,29,35.0,53.3,20.0,10.8,11.5,187847,4675676,200383,12536,Everton,EVE,MID,Man Utd,MUN,Bruno Miguel,Borges Fernandes,Fernandes,55.6,2.0,1.0,1.0,0.0,100.0,,6.2,0,4,0.3250137269496918,90,AMC,2021-02-06,0.1600418239831924,3,1,0.3250137269496918,1.030471682548523,0.8930982947349548,1228.0,141746
302,2021-02-14,237,18,9,False,1.0,1.0,24,90,1,0,0,1,0,0,0,0,0,0,2,23,48.4,11.8,33.0,9.3,11.5,79908,4774932,110716,30808,West Brom,WBA,MID,Man Utd,MUN,Bruno Miguel,Borges Fernandes,Fernandes,55.6,2.0,1.0,1.0,0.0,100.0,,6.2,0,3,0.1370694041252136,90,AMC,2021-02-14,0.0,0,1,0.1370694041252136,0.1985539048910141,0.0614844895899295,1228.0,141746
302,2021-02-21,245,14,12,True,3.0,1.0,25,90,1,1,0,1,0,0,0,1,0,0,3,41,60.8,43.6,29.0,13.3,11.6,41622,4834223,63513,21891,Newcastle,NEW,MID,Man Utd,MUN,Bruno Miguel,Borges Fernandes,Fernandes,55.6,2.0,1.0,1.0,0.0,100.0,,6.2,0,2,0.7922426462173462,90,AMC,2021-02-21,0.3907240331172943,3,0,0.0310737751424312,0.522048830986023,0.1002510115504264,1228.0,141746
302,2021-02-28,249,5,3,False,0.0,0.0,26,90,0,0,1,0,0,0,0,0,0,0,0,7,11.0,16.8,18.0,4.6,11.6,19376,4871297,82355,62979,Chelsea,CHE,MID,Man Utd,MUN,Bruno Miguel,Borges Fernandes,Fernandes,55.6,2.0,1.0,1.0,0.0,100.0,,6.2,0,2,0.0477285459637641,90,AMC,2021-02-28,0.0161672849208116,1,0,0.0477285459637641,0.1934540569782257,0.1295582354068756,1228.0,141746
302,2021-03-03,281,6,3,False,0.0,0.0,26,90,0,0,1,0,0,0,0,0,0,0,0,13,15.2,62.4,6.0,8.4,11.6,19376,4871297,82355,62979,Crystal Palace,CRY,MID,Man Utd,MUN,Bruno Miguel,Borges Fernandes,Fernandes,55.6,2.0,1.0,1.0,0.0,100.0,,6.2,0,0,0.0,90,AMC,2021-03-03,0.1319414973258972,4,0,0.0,0.3165293633937835,0.2390119582414627,1228.0,141746
